| STACK 0xffd0 [0x8021]
 | STACK 0xffd2 [0x0000]
 | STACK 0xffd4 [0x0006]
 | STACK 0xffd6 [0x9695]
 | STACK 0xffd8 [0xf000]
 | STACK 0xffda [0x0001]
 | STACK 0xffdc [0x0000]
 | STACK 0xffde [0x0000]
 | STACK 0xffe0 [0x0000]
 | STACK 0xffe2 [0x0000]
 | STACK 0xffe4 [0x0000]
 | STACK 0xffe6 [0x0000]
 | STACK 0xffe8 [0x0000]
 | STACK 0xffea [0xffff]
 | STACK 0xffec [0x0000]
 | STACK 0xffee [0x7c00]

 8034

  | STACK 0xff96 [0xff9e]
 | STACK 0xff98 [0x825a]
 | STACK 0xff9a [0x0000]
 | STACK 0xff9c [0x0020]
 | STACK 0xff9e [0x0000]
 | STACK 0xffa0 [0x1000]
 | STACK 0xffa2 [0x1000]
 | STACK 0xffa4 [0x1000]
 | STACK 0xffa6 [0x1000]
 | STACK 0xffa8 [0xffb7]
 | STACK 0xffaa [0xffb6]
 | STACK 0xffac [0x0001]
 | STACK 0xffae [0xe9d0]
 | STACK 0xffb0 [0xf000]
 | STACK 0xffb2 [0x0002]
 | STACK 0xffb4 [0x0000]

000c0219




8084

801f
 | STACK 0xffd6 [0x9695]
 | STACK 0xffd8 [0xf000]
 | STACK 0xffda [0x0001]
 | STACK 0xffdc [0x0000]
 | STACK 0xffde [0x0000]
 | STACK 0xffe0 [0x0000]
 | STACK 0xffe2 [0x0000]
 | STACK 0xffe4 [0x0000]
 | STACK 0xffe6 [0x0000]
 | STACK 0xffe8 [0x0000]
 | STACK 0xffea [0xffff]
 | STACK 0xffec [0x0000]
 | STACK 0xffee [0x7c00]
 | STACK 0xfff0 [0x0000]
 | STACK 0xfff2 [0x0000]
 | STACK 0xfff4 [0x0000]
    AFTER 
 | STACK 0xffd0 [0x8021]
 | STACK 0xffd2 [0x0000]
 | STACK 0xffd4 [0x0006]
 | STACK 0xffd6 [0x9695]
 | STACK 0xffd8 [0xf000]
 | STACK 0xffda [0x0001]
 | STACK 0xffdc [0x0000]
 | STACK 0xffde [0x0000]
 | STACK 0xffe0 [0x0000]
 | STACK 0xffe2 [0x0000]
 | STACK 0xffe4 [0x0000]
 | STACK 0xffe6 [0x0000]
 | STACK 0xffe8 [0x0000]
 | STACK 0xffea [0xffff]
 | STACK 0xffec [0x0000]
 | STACK 0xffee [0x7c00]

